in0 | arrSize: 75000 | type: Integer -> maxInput: 967
in1 | arrSize: 75000 | type: Long -> maxInput: 772
in0 | arrSize: 75000 | type: Long -> maxInput: 920
in1 | arrSize: 75000 | type: Long -> maxInput: 778
in0 | arrSize: 75000 | type: Long -> maxInput: 975
in1 | arrSize: 75000 | type: Long -> maxInput: 778
in0 | arrSize: 75000 | type: Long -> maxInput: 902
in1 | arrSize: 75000 | type: Long -> maxInput: 778
in0 | arrSize: 75000 | type: Long -> maxInput: 950
in1 | arrSize: 75000 | type: Long -> maxInput: 776
in0 | arrSize: 75000 | type: Long -> maxInput: 880
in1 | arrSize: 75000 | type: Long -> maxInput: 852
in0 | arrSize: 100000 | type: Long -> maxInput: 583
in1 | arrSize: 100000 | type: Long -> maxInput: 534
in0 | arrSize: 100000 | type: Long -> maxInput: 678
in1 | arrSize: 100000 | type: Long -> maxInput: 387
in0 | arrSize: 100000 | type: Long -> maxInput: 583
in1 | arrSize: 100000 | type: Long -> maxInput: 582
in0 | arrSize: 100000 | type: Long -> maxInput: 583
in1 | arrSize: 100000 | type: Long -> maxInput: 582
in0 | arrSize: 100000 | type: Long -> maxInput: 675
in1 | arrSize: 100000 | type: Long -> maxInput: 639
in0 | arrSize: 100000 | type: Long -> maxInput: 706
in1 | arrSize: 100000 | type: Long -> maxInput: 657
in0 | arrSize: 150000 | type: Long -> maxInput: 388
in1 | arrSize: 150000 | type: Long -> maxInput: 423
in0 | arrSize: 150000 | type: Long -> maxInput: 388
in1 | arrSize: 150000 | type: Long -> maxInput: 388
in0 | arrSize: 150000 | type: Long -> maxInput: 410
in1 | arrSize: 150000 | type: Long -> maxInput: 388
in0 | arrSize: 150000 | type: Long -> maxInput: 445
in1 | arrSize: 150000 | type: Long -> maxInput: 351
in0 | arrSize: 150000 | type: Long -> maxInput: 388
in1 | arrSize: 150000 | type: Long -> maxInput: 439
in0 | arrSize: 150000 | type: Long -> maxInput: 412
in1 | arrSize: 150000 | type: Long -> maxInput: 460
in0 | arrSize: 75000 | type: Float -> maxInput: 967
in1 | arrSize: 75000 | type: Float -> maxInput: 779
in0 | arrSize: 75000 | type: Float -> maxInput: 1072
in1 | arrSize: 75000 | type: Float -> maxInput: 1066
in0 | arrSize: 75000 | type: Float -> maxInput: 966
in1 | arrSize: 75000 | type: Float -> maxInput: 1111
in0 | arrSize: 75000 | type: Float -> maxInput: 973
in1 | arrSize: 75000 | type: Float -> maxInput: 973
in0 | arrSize: 75000 | type: Float -> maxInput: 961
in1 | arrSize: 75000 | type: Float -> maxInput: 1065
in0 | arrSize: 75000 | type: Float -> maxInput: 997
in1 | arrSize: 75000 | type: Float -> maxInput: 1170
in0 | arrSize: 100000 | type: Float -> maxInput: 730
in1 | arrSize: 100000 | type: Float -> maxInput: 723
in0 | arrSize: 100000 | type: Float -> maxInput: 583
in1 | arrSize: 100000 | type: Float -> maxInput: 778
in0 | arrSize: 100000 | type: Float -> maxInput: 583
in1 | arrSize: 100000 | type: Float -> maxInput: 729
in0 | arrSize: 100000 | type: Float -> maxInput: 783
in1 | arrSize: 100000 | type: Float -> maxInput: 776
in0 | arrSize: 100000 | type: Float -> maxInput: 786
in1 | arrSize: 100000 | type: Float -> maxInput: 816
in0 | arrSize: 100000 | type: Float -> maxInput: 724
in1 | arrSize: 100000 | type: Float -> maxInput: 816
in0 | arrSize: 150000 | type: Float -> maxInput: 485
in1 | arrSize: 150000 | type: Float -> maxInput: 535
in0 | arrSize: 150000 | type: Float -> maxInput: 495
in1 | arrSize: 150000 | type: Float -> maxInput: 488
in0 | arrSize: 150000 | type: Float -> maxInput: 482
in1 | arrSize: 150000 | type: Float -> maxInput: 586
in0 | arrSize: 150000 | type: Float -> maxInput: 535
in1 | arrSize: 150000 | type: Float -> maxInput: 472
in0 | arrSize: 150000 | type: Float -> maxInput: 489
in1 | arrSize: 150000 | type: Float -> maxInput: 509
in0 | arrSize: 150000 | type: Float -> maxInput: 480
in1 | arrSize: 150000 | type: Float -> maxInput: 607
in0 | arrSize: 75000 | type: Short -> maxInput: 1096
in1 | arrSize: 75000 | type: Short -> maxInput: 974
in0 | arrSize: 75000 | type: Short -> maxInput: 1103
in1 | arrSize: 75000 | type: Short -> maxInput: 779
in0 | arrSize: 75000 | type: Short -> maxInput: 1093
in1 | arrSize: 75000 | type: Short -> maxInput: 1096
in0 | arrSize: 75000 | type: Short -> maxInput: 971
in1 | arrSize: 75000 | type: Short -> maxInput: 1020
in0 | arrSize: 75000 | type: Short -> maxInput: 1065
in1 | arrSize: 75000 | type: Short -> maxInput: 971
in0 | arrSize: 75000 | type: Short -> maxInput: 1194
in1 | arrSize: 75000 | type: Short -> maxInput: 1072
in0 | arrSize: 100000 | type: Short -> maxInput: 779
in1 | arrSize: 100000 | type: Short -> maxInput: 757
in0 | arrSize: 100000 | type: Short -> maxInput: 681
in1 | arrSize: 100000 | type: Short -> maxInput: 761
in0 | arrSize: 100000 | type: Short -> maxInput: 632
in1 | arrSize: 100000 | type: Short -> maxInput: 704
in0 | arrSize: 100000 | type: Short -> maxInput: 819
in1 | arrSize: 100000 | type: Short -> maxInput: 725
in0 | arrSize: 100000 | type: Short -> maxInput: 804
in1 | arrSize: 100000 | type: Short -> maxInput: 764
in0 | arrSize: 100000 | type: Short -> maxInput: 775
in1 | arrSize: 100000 | type: Short -> maxInput: 877
in0 | arrSize: 150000 | type: Short -> maxInput: 519
in1 | arrSize: 150000 | type: Short -> maxInput: 388
in0 | arrSize: 150000 | type: Short -> maxInput: 529
in1 | arrSize: 150000 | type: Short -> maxInput: 388
in0 | arrSize: 150000 | type: Short -> maxInput: 547
in1 | arrSize: 150000 | type: Short -> maxInput: 460
in0 | arrSize: 150000 | type: Short -> maxInput: 562
in1 | arrSize: 150000 | type: Short -> maxInput: 485
in0 | arrSize: 150000 | type: Short -> maxInput: 590
in1 | arrSize: 150000 | type: Short -> maxInput: 546
in0 | arrSize: 150000 | type: Short -> maxInput: 477
in1 | arrSize: 150000 | type: Short -> maxInput: 522
