in0 | arrSize: 75000 | type: int -> maxInput: 1
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1547
in2 | arrSize: 75000 | type: Float -> maxInput: 1462
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1511
in2 | arrSize: 75000 | type: Float -> maxInput: 1560
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1560
in2 | arrSize: 75000 | type: Float -> maxInput: 1364
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1560
in2 | arrSize: 75000 | type: Float -> maxInput: 1558
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1850
in2 | arrSize: 75000 | type: Float -> maxInput: 1831
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1651
in2 | arrSize: 75000 | type: Float -> maxInput: 1554
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1260
in2 | arrSize: 100000 | type: Float -> maxInput: 1270
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1230
in2 | arrSize: 100000 | type: Float -> maxInput: 1169
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1169
in2 | arrSize: 100000 | type: Float -> maxInput: 1235
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1234
in2 | arrSize: 100000 | type: Float -> maxInput: 1365
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1297
in2 | arrSize: 100000 | type: Float -> maxInput: 1254
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1365
in2 | arrSize: 100000 | type: Float -> maxInput: 1242
in0 | arrSize: 150000 | type: int -> maxInput: 50000
in1 | arrSize: 150000 | type: Float -> maxInput: 742
in2 | arrSize: 150000 | type: Float -> maxInput: 681
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 779
in2 | arrSize: 150000 | type: Float -> maxInput: 779
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 754
in2 | arrSize: 150000 | type: Float -> maxInput: 841
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 822
in2 | arrSize: 150000 | type: Float -> maxInput: 779
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 778
in2 | arrSize: 150000 | type: Float -> maxInput: 830
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 823
in2 | arrSize: 150000 | type: Float -> maxInput: 827
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1560
in2 | arrSize: 75000 | type: Short -> maxInput: 1560
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1351
in2 | arrSize: 75000 | type: Short -> maxInput: 1553
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1749
in2 | arrSize: 75000 | type: Short -> maxInput: 1728
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1825
in2 | arrSize: 75000 | type: Short -> maxInput: 1697
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1554
in2 | arrSize: 75000 | type: Short -> maxInput: 1846
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1786
in2 | arrSize: 75000 | type: Short -> maxInput: 1849
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1248
in2 | arrSize: 100000 | type: Short -> maxInput: 1169
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1334
in2 | arrSize: 100000 | type: Short -> maxInput: 1234
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1236
in2 | arrSize: 100000 | type: Short -> maxInput: 1233
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1242
in2 | arrSize: 100000 | type: Short -> maxInput: 1236
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1279
in2 | arrSize: 100000 | type: Short -> maxInput: 1267
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1231
in2 | arrSize: 100000 | type: Short -> maxInput: 1206
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Short -> maxInput: 779
in2 | arrSize: 150000 | type: Short -> maxInput: 583
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Short -> maxInput: 823
in2 | arrSize: 150000 | type: Short -> maxInput: 583
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Short -> maxInput: 849
in2 | arrSize: 150000 | type: Short -> maxInput: 779
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Short -> maxInput: 779
in2 | arrSize: 150000 | type: Short -> maxInput: 827
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Short -> maxInput: 877
in2 | arrSize: 150000 | type: Short -> maxInput: 827
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Short -> maxInput: 778
in2 | arrSize: 150000 | type: Short -> maxInput: 827
