in0 | arrSize: 75000 | type: Integer -> maxInput: 270
in0 | arrSize: 100000 | type: Double -> maxInput: 229
in1 | arrSize: 100000 | type: Double -> maxInput: 214
in0 | arrSize: 150000 | type: Double -> maxInput: 184
in1 | arrSize: 150000 | type: Double -> maxInput: 169
in0 | arrSize: 150000 | type: Double -> maxInput: 174
in1 | arrSize: 150000 | type: Double -> maxInput: 168
in0 | arrSize: 150000 | type: Double -> maxInput: 168
in1 | arrSize: 150000 | type: Double -> maxInput: 162
in0 | arrSize: 150000 | type: Double -> maxInput: 168
in1 | arrSize: 150000 | type: Double -> maxInput: 193
in0 | arrSize: 150000 | type: Double -> maxInput: 180
in1 | arrSize: 150000 | type: Double -> maxInput: 193
in0 | arrSize: 150000 | type: Double -> maxInput: 189
in1 | arrSize: 150000 | type: Double -> maxInput: 193
in0 | arrSize: 75000 | type: Long -> maxInput: 278
in1 | arrSize: 75000 | type: Long -> maxInput: 259
in0 | arrSize: 75000 | type: Long -> maxInput: 252
in1 | arrSize: 75000 | type: Long -> maxInput: 239
in0 | arrSize: 75000 | type: Long -> maxInput: 265
in1 | arrSize: 75000 | type: Long -> maxInput: 260
in0 | arrSize: 75000 | type: Long -> maxInput: 247
in1 | arrSize: 75000 | type: Long -> maxInput: 260
in0 | arrSize: 75000 | type: Long -> maxInput: 247
in1 | arrSize: 75000 | type: Long -> maxInput: 278
in0 | arrSize: 75000 | type: Long -> maxInput: 274
in1 | arrSize: 75000 | type: Long -> maxInput: 223
in0 | arrSize: 100000 | type: Long -> maxInput: 242
in1 | arrSize: 100000 | type: Long -> maxInput: 242
in0 | arrSize: 100000 | type: Long -> maxInput: 223
in1 | arrSize: 100000 | type: Long -> maxInput: 224
in0 | arrSize: 100000 | type: Long -> maxInput: 233
in1 | arrSize: 100000 | type: Long -> maxInput: 230
in0 | arrSize: 100000 | type: Long -> maxInput: 199
in1 | arrSize: 100000 | type: Long -> maxInput: 230
in0 | arrSize: 100000 | type: Long -> maxInput: 226
in1 | arrSize: 100000 | type: Long -> maxInput: 194
in0 | arrSize: 100000 | type: Long -> maxInput: 217
in1 | arrSize: 100000 | type: Long -> maxInput: 218
in0 | arrSize: 150000 | type: Long -> maxInput: 197
in1 | arrSize: 150000 | type: Long -> maxInput: 197
in0 | arrSize: 150000 | type: Long -> maxInput: 174
in1 | arrSize: 150000 | type: Long -> maxInput: 171
in0 | arrSize: 150000 | type: Long -> maxInput: 156
in1 | arrSize: 150000 | type: Long -> maxInput: 199
in0 | arrSize: 150000 | type: Long -> maxInput: 165
in1 | arrSize: 150000 | type: Long -> maxInput: 174
in0 | arrSize: 150000 | type: Long -> maxInput: 168
in1 | arrSize: 150000 | type: Long -> maxInput: 205
in0 | arrSize: 150000 | type: Long -> maxInput: 177
in1 | arrSize: 150000 | type: Long -> maxInput: 193
in0 | arrSize: 75000 | type: Float -> maxInput: 291
in1 | arrSize: 75000 | type: Float -> maxInput: 272
in0 | arrSize: 75000 | type: Float -> maxInput: 241
in1 | arrSize: 75000 | type: Float -> maxInput: 272
in0 | arrSize: 75000 | type: Float -> maxInput: 271
in1 | arrSize: 75000 | type: Float -> maxInput: 254
in0 | arrSize: 75000 | type: Float -> maxInput: 259
in1 | arrSize: 75000 | type: Float -> maxInput: 278
in0 | arrSize: 75000 | type: Float -> maxInput: 265
in1 | arrSize: 75000 | type: Float -> maxInput: 257
in0 | arrSize: 75000 | type: Float -> maxInput: 280
in1 | arrSize: 75000 | type: Float -> maxInput: 252
in0 | arrSize: 100000 | type: Float -> maxInput: 236
in1 | arrSize: 100000 | type: Float -> maxInput: 202
in0 | arrSize: 100000 | type: Float -> maxInput: 242
in1 | arrSize: 100000 | type: Float -> maxInput: 224
in0 | arrSize: 100000 | type: Float -> maxInput: 230
in1 | arrSize: 100000 | type: Float -> maxInput: 224
in0 | arrSize: 100000 | type: Float -> maxInput: 223
in1 | arrSize: 100000 | type: Float -> maxInput: 242
in0 | arrSize: 100000 | type: Float -> maxInput: 223
in1 | arrSize: 100000 | type: Float -> maxInput: 242
in0 | arrSize: 100000 | type: Float -> maxInput: 268
in1 | arrSize: 100000 | type: Float -> maxInput: 198
in0 | arrSize: 150000 | type: Float -> maxInput: 194
in1 | arrSize: 150000 | type: Float -> maxInput: 200
in0 | arrSize: 150000 | type: Float -> maxInput: 181
in1 | arrSize: 150000 | type: Float -> maxInput: 196
in0 | arrSize: 150000 | type: Float -> maxInput: 180
in1 | arrSize: 150000 | type: Float -> maxInput: 186
in0 | arrSize: 150000 | type: Float -> maxInput: 194
in1 | arrSize: 150000 | type: Float -> maxInput: 193
in0 | arrSize: 150000 | type: Float -> maxInput: 180
in1 | arrSize: 150000 | type: Float -> maxInput: 205
in0 | arrSize: 150000 | type: Float -> maxInput: 180
in1 | arrSize: 150000 | type: Float -> maxInput: 193
in0 | arrSize: 75000 | type: Short -> maxInput: 291
in1 | arrSize: 75000 | type: Short -> maxInput: 266
in0 | arrSize: 75000 | type: Short -> maxInput: 278
in1 | arrSize: 75000 | type: Short -> maxInput: 240
in0 | arrSize: 75000 | type: Short -> maxInput: 291
in1 | arrSize: 75000 | type: Short -> maxInput: 275
in0 | arrSize: 75000 | type: Short -> maxInput: 271
in1 | arrSize: 75000 | type: Short -> maxInput: 291
in0 | arrSize: 75000 | type: Short -> maxInput: 238
in1 | arrSize: 75000 | type: Short -> maxInput: 291
in0 | arrSize: 75000 | type: Short -> maxInput: 292
in1 | arrSize: 75000 | type: Short -> maxInput: 278
in0 | arrSize: 100000 | type: Short -> maxInput: 218
in1 | arrSize: 100000 | type: Short -> maxInput: 234
in0 | arrSize: 100000 | type: Short -> maxInput: 236
in1 | arrSize: 100000 | type: Short -> maxInput: 221
in0 | arrSize: 100000 | type: Short -> maxInput: 220
in1 | arrSize: 100000 | type: Short -> maxInput: 215
in0 | arrSize: 100000 | type: Short -> maxInput: 220
in1 | arrSize: 100000 | type: Short -> maxInput: 224
in0 | arrSize: 100000 | type: Short -> maxInput: 230
in1 | arrSize: 100000 | type: Short -> maxInput: 236
in0 | arrSize: 100000 | type: Short -> maxInput: 229
in1 | arrSize: 100000 | type: Short -> maxInput: 208
in0 | arrSize: 150000 | type: Short -> maxInput: 182
in1 | arrSize: 150000 | type: Short -> maxInput: 184
in0 | arrSize: 150000 | type: Short -> maxInput: 165
in1 | arrSize: 150000 | type: Short -> maxInput: 178
in0 | arrSize: 150000 | type: Short -> maxInput: 156
in1 | arrSize: 150000 | type: Short -> maxInput: 164
in0 | arrSize: 150000 | type: Short -> maxInput: 183
in1 | arrSize: 150000 | type: Short -> maxInput: 194
in0 | arrSize: 150000 | type: Short -> maxInput: 188
in1 | arrSize: 150000 | type: Short -> maxInput: 194
in0 | arrSize: 150000 | type: Short -> maxInput: 204
in1 | arrSize: 150000 | type: Short -> maxInput: 169
