in0 | arrSize: 75000 | type: Integer -> maxInput: 1169
in1 | arrSize: 100000 | type: Long -> maxInput: 913
in0 | arrSize: 150000 | type: Long -> maxInput: 678
in1 | arrSize: 150000 | type: Long -> maxInput: 568
in0 | arrSize: 150000 | type: Long -> maxInput: 614
in1 | arrSize: 150000 | type: Long -> maxInput: 568
in0 | arrSize: 150000 | type: Long -> maxInput: 651
in1 | arrSize: 150000 | type: Long -> maxInput: 579
in0 | arrSize: 150000 | type: Long -> maxInput: 631
in1 | arrSize: 150000 | type: Long -> maxInput: 583
in0 | arrSize: 150000 | type: Long -> maxInput: 735
in1 | arrSize: 150000 | type: Long -> maxInput: 644
in0 | arrSize: 150000 | type: Long -> maxInput: 642
in1 | arrSize: 150000 | type: Long -> maxInput: 638
in0 | arrSize: 75000 | type: Float -> maxInput: 1560
in1 | arrSize: 75000 | type: Float -> maxInput: 1560
in0 | arrSize: 75000 | type: Float -> maxInput: 1560
in1 | arrSize: 75000 | type: Float -> maxInput: 1560
in0 | arrSize: 75000 | type: Float -> maxInput: 1364
in1 | arrSize: 75000 | type: Float -> maxInput: 1560
in0 | arrSize: 75000 | type: Float -> maxInput: 1842
in1 | arrSize: 75000 | type: Float -> maxInput: 1560
in0 | arrSize: 75000 | type: Float -> maxInput: 1754
in1 | arrSize: 75000 | type: Float -> maxInput: 1846
in0 | arrSize: 75000 | type: Float -> maxInput: 1849
in1 | arrSize: 75000 | type: Float -> maxInput: 1859
in0 | arrSize: 100000 | type: Float -> maxInput: 1234
in1 | arrSize: 100000 | type: Float -> maxInput: 1294
in0 | arrSize: 100000 | type: Float -> maxInput: 1169
in1 | arrSize: 100000 | type: Float -> maxInput: 1265
in0 | arrSize: 100000 | type: Float -> maxInput: 1169
in1 | arrSize: 100000 | type: Float -> maxInput: 1288
in0 | arrSize: 100000 | type: Float -> maxInput: 1169
in1 | arrSize: 100000 | type: Float -> maxInput: 1357
in0 | arrSize: 100000 | type: Float -> maxInput: 1365
in1 | arrSize: 100000 | type: Float -> maxInput: 1285
in0 | arrSize: 100000 | type: Float -> maxInput: 1234
in1 | arrSize: 100000 | type: Float -> maxInput: 1322
in0 | arrSize: 150000 | type: Float -> maxInput: 583
in1 | arrSize: 150000 | type: Float -> maxInput: 779
in0 | arrSize: 150000 | type: Float -> maxInput: 583
in1 | arrSize: 150000 | type: Float -> maxInput: 888
in0 | arrSize: 150000 | type: Float -> maxInput: 829
in1 | arrSize: 150000 | type: Float -> maxInput: 681
in0 | arrSize: 150000 | type: Float -> maxInput: 779
in1 | arrSize: 150000 | type: Float -> maxInput: 827
in0 | arrSize: 150000 | type: Float -> maxInput: 776
in1 | arrSize: 150000 | type: Float -> maxInput: 900
in0 | arrSize: 150000 | type: Float -> maxInput: 777
in1 | arrSize: 150000 | type: Float -> maxInput: 839
in0 | arrSize: 75000 | type: Short -> maxInput: 1902
in1 | arrSize: 75000 | type: Short -> maxInput: 1498
in0 | arrSize: 75000 | type: Short -> maxInput: 1755
in1 | arrSize: 75000 | type: Short -> maxInput: 1847
in0 | arrSize: 75000 | type: Short -> maxInput: 1560
in1 | arrSize: 75000 | type: Short -> maxInput: 1462
in0 | arrSize: 75000 | type: Short -> maxInput: 1852
in1 | arrSize: 75000 | type: Short -> maxInput: 1511
in0 | arrSize: 75000 | type: Short -> maxInput: 1850
in1 | arrSize: 75000 | type: Short -> maxInput: 1833
in0 | arrSize: 75000 | type: Short -> maxInput: 1851
in1 | arrSize: 75000 | type: Short -> maxInput: 1789
in0 | arrSize: 100000 | type: Short -> maxInput: 1401
in1 | arrSize: 100000 | type: Short -> maxInput: 1169
in0 | arrSize: 100000 | type: Short -> maxInput: 1398
in1 | arrSize: 100000 | type: Short -> maxInput: 1217
in0 | arrSize: 100000 | type: Short -> maxInput: 1265
in1 | arrSize: 100000 | type: Short -> maxInput: 1233
in0 | arrSize: 100000 | type: Short -> maxInput: 1372
in1 | arrSize: 100000 | type: Short -> maxInput: 1233
in0 | arrSize: 100000 | type: Short -> maxInput: 1268
in1 | arrSize: 100000 | type: Short -> maxInput: 1258
in0 | arrSize: 100000 | type: Short -> maxInput: 1263
in1 | arrSize: 100000 | type: Short -> maxInput: 1166
in0 | arrSize: 150000 | type: Short -> maxInput: 883
in1 | arrSize: 150000 | type: Short -> maxInput: 730
in0 | arrSize: 150000 | type: Short -> maxInput: 777
in1 | arrSize: 150000 | type: Short -> maxInput: 681
in0 | arrSize: 150000 | type: Short -> maxInput: 880
in1 | arrSize: 150000 | type: Short -> maxInput: 824
in0 | arrSize: 150000 | type: Short -> maxInput: 779
in1 | arrSize: 150000 | type: Short -> maxInput: 827
in0 | arrSize: 150000 | type: Short -> maxInput: 887
in1 | arrSize: 150000 | type: Short -> maxInput: 779
in0 | arrSize: 150000 | type: Short -> maxInput: 853
in1 | arrSize: 150000 | type: Short -> maxInput: 779
